ID,usage_name,Address
00,No Event,
01,ErrorRollOver,
02,POSTFail,
03,ErrorUndefined,
04,a and A,64
05,b and B,96
06,c and C,45
07,d and D,44
08,e and E,42
09,f and F,94
0A,g and G,90
0B,h and H,50
0C,i and I,C2
0D,j and J,54
0E,k and K,C4
0F,l and L,A4
10,m and M,55
11,n and N,56
12,o and O,A2
13,p and P,B2
14,q and Q,62
15,r and R,92
16,s and S,84
17,t and T,97
18,u and U,52
19,v and V,95
1A,w and W,82
1B,x and X,85
1C,y and Y,57
1D,z and Z,65
1E,1 and !,63
1F,2 and @,83
20,3 and #,43
21,4 and $,93
22,5 and %,91
23,6 and ^,51
24,7 and &,53
25,8 and *,C3
26,9 and (,A3
27,0 and ),B3
28,Return (ENTER),25
29,ESCAPE,60
2A,DELETE (Backspace),27
2B,Tab,67
2C,Spacebar,26
2D,- and Underscore,B1
2E,= and +,C1
2F,[ and {,B7
30,] and },C7
31,\ and |,24
32,Non-US # and ~,B5
33,; and :,B4
34,"' and """,B0
35,Grave Accent and Tilde,61
36,Comma and <,C5
37,. and >,A5
38,/ and ?,B6
39,Caps Lock,87
3A,F1,81
3B,F2,41
3C,F3,47
3D,F4,40
3E,F5,20
3F,F6,C0
40,F7,A7
41,F8,A1
42,F9,21
43,F10,23
44,F11,13
45,F12,F3
46,PrintScreen,E3
47,Scroll Lock,E2
48,Pause,05
49,Insert,F1
4A,Home,01
4B,PageUp,31
4C,Delete Forward,11
4D,End,03
4E,PageDown,33
4F,RightArrow,F6
50,LeftArrow,06
51,DownArrow,16
52,UpArrow,00
53,Keypad Num Lock and Clear,
54,Keypad Forward Slash,
55,Keypad *,
56,Keypad -,
57,Keypad +,
58,Keypad ENTER,
59,Keypad 1 and End,
5A,Keypad 2 and Down Arrow,
5B,Keypad 3 and PageDn,
5C,Keypad 4 and Left Arrow,35
5D,Keypad 5,
5E,Keypad 6 and Right Arrow,36
5F,Keypad 7 and Home,
60,Keypad 8 and Up Arrow,
61,Keypad 9 and PageUp,
62,Keypad 0 and Insert,
63,Keypad . and Delete,
64,Non-US Slash Bar,80
65,Application,34
66,Power,F4
67,Keypad =,
68,F13,
69,F14,
6A,F15,
6B,F16,
6C,F17,
6D,F18,
6E,F19,
6F,F20,
70,F21,
71,F22,
72,F23,
73,F24,
74,Execute,
75,Help,
76,Menu,
77,Select,
78,Stop,
79,Again,
7A,Undo,
7B,Cut,
7C,Copy,
7D,Paste,
7E,Find,
7F,Mute,
80,Volume Up,
81,Volume Down,
82,Locking Caps Lock,
83,Locking Numb Lock,
84,Locking Scroll Lock,
85,Keypad Comma,
86,Keypad Equal Sign,
87,International1,C6
88,International2,A6
89,International3,22
8A,International4,A0
8B,International5,66
8C,International6,
8D,International7,
8E,International8,
8F,International9,
90,LANG1,
91,LANG2,
92,LANG3,
93,LANG4,
94,LANG5,
95,LANG6,
96,LANG7,
97,LANG8,
98,LANG9,
99,Alternate Erase,
9A,SysReq/Attention,
9B,Cancel,
9C,Clear,
9D,Prior,
9E,Return,
9F,Separator,
A0,Out,
A1,Oper,
A2,Clear/Again,
A3,CrSel/Props,
A4,ExSel,
A5,Reserved,
A6,Reserved,
A7,Reserved,
A8,Reserved,
A9,Reserved,
AA,Reserved,
AB,Reserved,
AC,Reserved,
AD,Reserved,
AE,Reserved,
AF,Fn,04
B0,Keypad 00,
B1,Keypad 000,
B2,Thousands Separator,
B3,Decimal Separator,
B4,Currency Unit,
B5,Currency Sub-unit,
B6,Keypad (,
B7,Keypad ),
B8,Keypad {,
B9,Keypad },
BA,Keypad Tab,
BB,Keypad Backspace,
BC,Keypad A,
BD,Keypad B,
BE,Keypad C,
BF,Keypad D,
C0,Keypad E,
C1,Keypad F,
C2,Keypad XOR,
C3,Keypad ^,
C4,Keypad %,
C5,Keypad <,
C6,Keypad >,
C7,Keypad &,
C8,Keypad &&,
C9,Keypad |,
CA,Keypad ||,
CB,Keypad :,
CC,Keypad #,
CD,Keypad Space,
CE,Keypad @,
CF,Keypad !,
D0,Keypad Memory Store,07
D1,Keypad Memory Recall,
D2,Keypad Memory Clear,F2
D3,Keypad Memory Add,
D4,Keypad Memory Subtract,E1
D5,Media 01,14
D6,Media 02,17
D7,Media 03,12
D8,Media 04,15
D9,Media 05,
DA,Media 06,
DB,Media 07,
DC,Media 08,
DD,Media 09,
DE,Media 10,
DF,Media 11,
E0,LeftControl,D1
E1,LeftShift,77
E2,LeftAlt,E0
E3,Left GUI,F7
E4,RightControl,D5
E5,RightShift,75
E6,RightAlt,E6
E7,Right GUI,10
E8,Macro 01,
E9,Macro 02,
EA,Macro 03,
EB,Macro 04,
EC,Macro 05,
ED,Macro 06,
EE,Macro 07,
EF,Macro 08,
F0,Macro 09,
F1,Macro 10,
F2,Macro 11,
F3,Macro 12,
F4,Macro 13,
F5,Macro 14,
F6,Macro 15,
F7,Macro 16,
F8,Macro 17,
F9,Macro 18,
FA,Macro 19,
FB,Macro 20,
FC,Macro 21,
FD,Macro 22,
FE,Macro 23,
FF,Macro 24,
